stock_id,start,end,measure,market
6173,2026-05-12,2026-05-25,20分撮合,上櫃
6173,2026-05-15,2026-05-28,20分撮合,上櫃
6173,2026-05-28,2026-06-10,20分撮合,上櫃
6173,2026-06-17,2026-07-01,20分撮合,上櫃
6173,2026-07-17,2026-07-30,20分撮合,上櫃
6174,2026-07-09,2026-07-22,5分撮合,上櫃
61827,2026-07-08,2026-07-21,20分撮合,上櫃
61828,2026-07-07,2026-07-20,20分撮合,上櫃
61828,2026-07-10,2026-07-23,20分撮合,上櫃
6187,2026-03-03,2026-03-16,5分撮合,上櫃
6187,2026-03-06,2026-03-19,20分撮合,上櫃
6187,2026-03-30,2026-04-14,20分撮合,上櫃
6187,2026-06-17,2026-07-01,5分撮合,上櫃
6213,2025-08-22,2025-09-04,5分撮合,上市
6213,2026-04-23,2026-05-11,5分撮合,上市
6215,2025-08-15,2025-09-01,5分撮合,上市
6217,2026-07-06,2026-07-17,5分撮合,上櫃
6226,2026-06-30,2026-07-13,5分撮合,上市
6226,2026-07-03,2026-07-16,20分撮合,上市
6239,2026-05-29,2026-06-11,5分撮合,上市
62433,2026-06-29,2026-07-10,5分撮合,上櫃
6274,2026-04-17,2026-04-30,5分撮合,上櫃
6274,2026-05-11,2026-05-22,20分撮合,上櫃
6415,2026-04-24,2026-05-08,5分撮合,上市
6415,2026-06-24,2026-07-07,5分撮合,上市
6442,2025-07-25,2025-08-11,5分撮合,上市
6442,2025-12-01,2025-12-16,5分撮合,上市
6442,2026-02-04,2026-02-26,5分撮合,上市
6442,2026-03-09,2026-03-20,20分撮合,上市
6442,2026-04-22,2026-05-06,5分撮合,上市
6442,2026-06-08,2026-06-22,5分撮合,上市
6449,2026-05-19,2026-06-01,5分撮合,上市
6449,2026-05-22,2026-06-04,20分撮合,上市
6449,2026-06-01,2026-06-12,20分撮合,上市
6488,2025-09-23,2025-10-08,5分撮合,上櫃
6488,2025-11-12,2025-11-25,5分撮合,上櫃
6488,2026-05-12,2026-05-25,5分撮合,上櫃
6488,2026-06-01,2026-06-12,20分撮合,上櫃
6488,2026-06-22,2026-07-03,20分撮合,上櫃
6515,2025-09-04,2025-09-17,5分撮合,上市
6515,2026-03-26,2026-04-10,5分撮合,上市
